Quenns(%),Queens,Cells Under Fire(CUF),Desk Space(DS),CUF/DS ratio
0,1,896,62500,0.014336
1,3,2647,62500,0.042352
2,6,5167,62500,0.082672
3,8,6411,62500,0.102576
4,11,8723,62500,0.139568
5,13,10109,62500,0.161744
6,16,12832,62500,0.205312
7,18,13565,62500,0.21704
8,21,15744,62500,0.251904
9,23,17090,62500,0.27344
10,26,19500,62500,0.312
11,28,20550,62500,0.3288
12,31,22384,62500,0.358144
13,33,23071,62500,0.369136
14,36,25162,62500,0.402592
15,38,26343,62500,0.421488
16,41,28019,62500,0.448304
17,43,28937,62500,0.462992
18,46,30813,62500,0.493008
19,48,31686,62500,0.506976
20,51,33001,62500,0.528016
21,53,34350,62500,0.5496
22,56,34828,62500,0.557248
23,58,36339,62500,0.581424
24,61,37090,62500,0.59344
25,63,38282,62500,0.612512
26,66,39265,62500,0.62824
27,68,40479,62500,0.647664
28,71,41539,62500,0.664624
29,73,42346,62500,0.677536
30,76,43381,62500,0.694096
31,78,44306,62500,0.708896
32,81,45048,62500,0.720768
33,83,45860,62500,0.73376
34,86,46615,62500,0.74584
35,88,47173,62500,0.754768
36,91,48057,62500,0.768912
37,93,48558,62500,0.776928
38,96,49269,62500,0.788304
39,98,50015,62500,0.80024
40,101,50783,62500,0.812528
41,103,51149,62500,0.818384
42,106,51862,62500,0.829792
43,108,52322,62500,0.837152
44,111,52980,62500,0.84768
45,113,53322,62500,0.853152
46,116,53949,62500,0.863184
47,118,54369,62500,0.869904
48,121,54890,62500,0.87824
49,123,55281,62500,0.884496
50,126,55956,62500,0.895296
51,128,56260,62500,0.90016
52,131,56594,62500,0.905504
53,133,56864,62500,0.909824
54,136,57396,62500,0.918336
55,138,57589,62500,0.921424
56,141,57866,62500,0.925856
57,143,58231,62500,0.931696
58,146,58541,62500,0.936656
59,148,58747,62500,0.939952
60,151,59059,62500,0.944944
61,153,59289,62500,0.948624
62,156,59514,62500,0.952224
63,158,59741,62500,0.955856
64,161,60054,62500,0.960864
65,163,60172,62500,0.962752
66,166,60379,62500,0.966064
67,168,60488,62500,0.967808
68,171,60776,62500,0.972416
69,173,60904,62500,0.974464
70,176,61096,62500,0.977536
71,178,61184,62500,0.978944
72,181,61242,62500,0.979872
73,183,61459,62500,0.983344
74,186,61549,62500,0.984784
75,188,61644,62500,0.986304
76,191,61777,62500,0.988432
77,193,61825,62500,0.9892
78,196,61910,62500,0.99056
79,198,61989,62500,0.991824
80,201,62031,62500,0.992496
81,203,62120,62500,0.99392
82,206,62177,62500,0.994832
83,208,62216,62500,0.995456
84,211,62269,62500,0.996304
85,213,62295,62500,0.99672
86,216,62329,62500,0.997264
87,218,62374,62500,0.997984
88,221,62389,62500,0.998224
89,223,62429,62500,0.998864
90,226,62431,62500,0.998896
91,228,62449,62500,0.999184
92,231,62458,62500,0.999328
