Quenns(%);Queens;Cells Under Fire(CUF);Desk Space(DS);CUF/DS ratio
0;1;772;62500;0.012352
5;13;10436;62500;0.166976
10;26;19132;62500;0.306112
15;38;26118;62500;0.417888
20;51;32814;62500;0.525024
25;63;38108;62500;0.609728
30;76;43201;62500;0.691216
35;88;47205;62500;0.75528
40;101;50758;62500;0.812128
45;113;53406;62500;0.854496
50;126;55908;62500;0.894528
55;138;57586;62500;0.921376
60;151;59112;62500;0.945792
65;163;60107;62500;0.961712
70;176;61015;62500;0.97624
75;188;61631;62500;0.986096
80;201;62045;62500;0.99272
85;213;62309;62500;0.996944
