Quenns(%),Queens,Cells Under Fire(CUF),Desk Space(DS),CUF/DS ratio
0,1,996,62500,0.015936
1,3,2954,62500,0.047264
2,6,5791,62500,0.092656
3,8,7640,62500,0.12224
4,11,10325,62500,0.1652
5,13,12042,62500,0.192672
6,16,14568,62500,0.233088
7,18,16189,62500,0.259024
8,21,18565,62500,0.29704
9,23,20068,62500,0.321088
10,26,22255,62500,0.35608
11,28,23692,62500,0.379072
12,31,25684,62500,0.410944
13,33,27053,62500,0.432848
14,36,28965,62500,0.46344
15,38,30239,62500,0.483824
16,41,32015,62500,0.51224
17,43,33118,62500,0.529888
18,46,34830,62500,0.55728
19,48,35884,62500,0.574144
20,51,37457,62500,0.599312
21,53,38482,62500,0.615712
22,56,39931,62500,0.638896
23,58,40837,62500,0.653392
24,61,42110,62500,0.67376
25,63,42994,62500,0.687904
26,66,44161,62500,0.706576
27,68,44995,62500,0.71992
28,71,46080,62500,0.73728
29,73,46839,62500,0.749424
30,76,47884,62500,0.766144
31,78,48501,62500,0.776016
32,81,49542,62500,0.792672
33,83,50165,62500,0.80264
34,86,50898,62500,0.814368
35,88,51461,62500,0.823376
36,91,52265,62500,0.83624
37,93,52796,62500,0.844736
38,96,53559,62500,0.856944
39,98,53894,62500,0.862304
40,101,54628,62500,0.874048
41,103,54955,62500,0.87928
42,106,55672,62500,0.890752
43,108,56070,62500,0.89712
44,111,56532,62500,0.904512
45,113,56908,62500,0.910528
46,116,57330,62500,0.91728
47,118,57708,62500,0.923328
48,121,58077,62500,0.929232
49,123,58302,62500,0.932832
50,126,58767,62500,0.940272
51,128,58942,62500,0.943072
52,131,59307,62500,0.948912
53,133,59482,62500,0.951712
54,136,59871,62500,0.957936
55,138,59960,62500,0.95936
56,141,60257,62500,0.964112
57,143,60408,62500,0.966528
58,146,60612,62500,0.969792
59,148,60755,62500,0.97208
60,151,60957,62500,0.975312
61,153,61053,62500,0.976848
62,156,61275,62500,0.9804
63,158,61333,62500,0.981328
64,161,61493,62500,0.983888
65,163,61614,62500,0.985824
66,166,61690,62500,0.98704
67,168,61795,62500,0.98872
68,171,61865,62500,0.98984
69,173,61936,62500,0.990976
70,176,62032,62500,0.992512
71,178,62092,62500,0.993472
72,181,62134,62500,0.994144
73,183,62200,62500,0.9952
74,186,62237,62500,0.995792
75,188,62283,62500,0.996528
76,191,62310,62500,0.99696
77,193,62344,62500,0.997504
78,196,62371,62500,0.997936
79,198,62387,62500,0.998192
